MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
Cluster 9,Seed,3,ABAT,FALSE,ABAT
Cluster 9,Clustered,2.7,ALDH5A1,FALSE,ALDH5A1
,Unclustered,1.607142857,ACSS1,FALSE,ACSS1
Cluster 9,Clustered,2.7,OGDH,FALSE,OGDH
,Unclustered,2,ABCA4,FALSE,ABCA4
,Unclustered,0.666666667,PDE6H,FALSE,PDE6H
Cluster 8,Clustered,2.7,MERTK,FALSE,MERTK
,Unclustered,0.666666667,CNNM4,FALSE,CNNM4
,Unclustered,1.066666667,MYO7A,FALSE,MYO7A
,Unclustered,3,ABCD3,FALSE,ABCD3
,Unclustered,2.7,SLC27A2,FALSE,SLC27A2
,Unclustered,1.583333333,ACSL5,FALSE,ACSL5
,Unclustered,11,CIT,FALSE,CIT
,Unclustered,1.466666667,ACSL1,FALSE,ACSL1
,Unclustered,0,ABHD12B,FALSE,ABHD12B
,Unclustered,0.666666667,DEPDC7,FALSE,DEPDC7
,Unclustered,2,ABLIM1,FALSE,ABLIM1
,Unclustered,0.857142857,NEXN,FALSE,NEXN
,Unclustered,1.666666667,EPHB1,FALSE,EPHB1
,Unclustered,2,ABLIM3,FALSE,ABLIM3
Cluster 10,Clustered,1.666666667,GRPEL2,FALSE,GRPEL2
Cluster 2,Clustered,4.761904762,ACER3,FALSE,ACER3
Cluster 2,Clustered,4.761904762,CERS4,FALSE,CERS4
Cluster 2,Clustered,4.761904762,DEGS1,FALSE,DEGS1
Cluster 2,Clustered,4.761904762,CERS5,FALSE,CERS5
Cluster 2,Clustered,5,PLPP2,FALSE,PLPP2
Cluster 2,Clustered,4.761904762,UGCG,FALSE,UGCG
Cluster 2,Seed,5,SPTLC3,FALSE,SPTLC3
,Unclustered,0.666666667,USP53,FALSE,USP53
,Unclustered,3,ACOXL,FALSE,ACOXL
,Unclustered,2,ECHDC2,FALSE,ECHDC2
,Unclustered,0.666666667,ACSF3,FALSE,ACSF3
,Unclustered,0.666666667,ITPK1,FALSE,ITPK1
Cluster 8,Clustered,2.666666667,SCARB1,FALSE,SCARB1
,Unclustered,2.7,GPAT3,FALSE,GPAT3
,Unclustered,2.7,AGPAT3,FALSE,AGPAT3
,Unclustered,4,TXNIP,FALSE,TXNIP
,Unclustered,2,SQLE,FALSE,SQLE
Cluster 5,Clustered,4.761904762,IDH1,FALSE,IDH1
Cluster 4,Clustered,3.555555556,ACTR3,FALSE,ACTR3
,Unclustered,0,CLIP2,FALSE,CLIP2
,Unclustered,2.888888889,PFN1,FALSE,PFN1
Cluster 14,Clustered,3.03030303,VASP,FALSE,VASP
,Unclustered,1.666666667,DSTN,FALSE,DSTN
,Unclustered,2.577777778,RAP1B,FALSE,RAP1B
Cluster 1,Clustered,19.61111111,ECT2,TRUE,ECT2
Cluster 3,Clustered,5.785714286,YWHAZ,FALSE,YWHAZ
,Unclustered,4,CORO1B,FALSE,CORO1B
Cluster 1,Clustered,19.34482759,ANLN,TRUE,ANLN
Cluster 4,Clustered,3.733333333,DBN1,FALSE,DBN1
Cluster 4,Clustered,3.6,GRB2,FALSE,GRB2
,Unclustered,4,DBNL,FALSE,DBNL
,Unclustered,4.523809524,WIPF1,FALSE,WIPF1
Cluster 4,Clustered,3.555555556,ARPC2,FALSE,ARPC2
Cluster 4,Clustered,3.733333333,ARPC1B,FALSE,ARPC1B
,Unclustered,2,ACVR1B,FALSE,ACVR1B
Cluster 3,Clustered,6,TGFB2,FALSE,TGFB2
,Unclustered,7.822222222,CTNNB1,FALSE,CTNNB1
,Unclustered,0.666666667,AFAP1L2,FALSE,AFAP1L2
,Unclustered,2,ASAP2,FALSE,ASAP2
,Unclustered,0.333333333,CXADR,FALSE,CXADR
,Unclustered,1.2,DGKD,FALSE,DGKD
,Unclustered,0,AIG1,FALSE,AIG1
,Unclustered,0,HIVEP2,FALSE,HIVEP2
Cluster 8,Clustered,2.465909091,AKT1,FALSE,AKT1
Cluster 14,Clustered,3,BAIAP2L1,FALSE,BAIAP2L1
Cluster 3,Clustered,5,TNFRSF1A,FALSE,TNFRSF1A
,Unclustered,2,TNS1,FALSE,TNS1
Cluster 14,Clustered,2.888888889,ITGB4,FALSE,ITGB4
,Unclustered,1.4,MAPK13,FALSE,MAPK13
,Unclustered,2,APLP1,FALSE,APLP1
,Unclustered,4,EPOR,FALSE,EPOR
Cluster 3,Seed,6.019047619,CCND1,FALSE,CCND1
Cluster 3,Clustered,5,SPARC,FALSE,SPARC
,Unclustered,8.836363636,CDC25B,FALSE,CDC25B
Cluster 3,Clustered,5.066666667,APOE,FALSE,APOE
Cluster 3,Clustered,5.333333333,THBS1,FALSE,THBS1
Cluster 3,Clustered,5.785714286,CCND2,FALSE,CCND2
Cluster 4,Clustered,3.777777778,NOTCH3,FALSE,NOTCH3
,Unclustered,2.888888889,BIRC3,FALSE,BIRC3
,Unclustered,3,IL11,FALSE,IL11
,Unclustered,2,GOLPH3,FALSE,GOLPH3
,Unclustered,10.63736264,CDK6,FALSE,CDK6
,Unclustered,2.428571429,RHOB,FALSE,RHOB
Cluster 5,Clustered,5,RTKN,FALSE,RTKN
,Unclustered,0,UXS1,FALSE,UXS1
,Unclustered,3.733333333,UCHL1,FALSE,UCHL1
Cluster 5,Clustered,4.464285714,LRP5,FALSE,LRP5
,Unclustered,3,ANPEP,FALSE,ANPEP
Cluster 1,Clustered,17.53246753,CDC25A,TRUE,CDC25A
Cluster 5,Clustered,4.8,IRS1,FALSE,IRS1
,Unclustered,4,OLR1,FALSE,OLR1
,Unclustered,2,ELMO1,FALSE,ELMO1
,Unclustered,3,NQO1,FALSE,NQO1
Cluster 8,Clustered,3,CD276,FALSE,CD276
Cluster 1,Clustered,17.74285714,TACC3,TRUE,TACC3
Cluster 5,Clustered,4.761904762,DNMT3B,FALSE,DNMT3B
,Unclustered,1.666666667,CADM1,FALSE,CADM1
,Unclustered,0.857142857,EPHB3,FALSE,EPHB3
Cluster 3,Clustered,5,F3,FALSE,F3
Cluster 1,Clustered,19.68379447,CDKN3,TRUE,CDKN3
,Unclustered,1.666666667,PPL,FALSE,PPL
,Unclustered,5,OCLN,FALSE,OCLN
Cluster 8,Seed,3.047619048,COL18A1,FALSE,COL18A1
,Unclustered,3.75,DPP4,FALSE,DPP4
Cluster 3,Clustered,6,E2F2,FALSE,E2F2
Cluster 1,Clustered,19.34482759,NEK2,TRUE,NEK2
Cluster 3,Clustered,5,NES,FALSE,NES
Cluster 1,Clustered,19.34482759,MKI67,TRUE,MKI67
,Unclustered,3,FMR1,FALSE,FMR1
,Unclustered,1.666666667,CTH,FALSE,CTH
